timestamp,memory_used_MiB,memory_total_MiB,util_gpu_pct
22:14:56.684,3491, 4096, 100
22:14:56.950,3491, 4096, 100
22:14:57.213,3491, 4096, 100
22:14:57.478,3491, 4096, 100
22:14:57.743,3491, 4096, 100
22:14:58.010,3491, 4096, 100
22:14:58.272,3491, 4096, 100
22:14:58.601,3491, 4096, 100
22:14:58.866,3491, 4096, 97
22:14:59.133,3491, 4096, 97
22:14:59.398,3491, 4096, 97
22:14:59.664,3491, 4096, 97
22:14:59.930,3491, 4096, 97
22:15:00.193,3491, 4096, 97
22:15:00.457,3489, 4096, 97
22:15:00.724,3484, 4096, 98
22:15:00.990,3484, 4096, 98
22:15:01.254,3484, 4096, 98
22:15:01.518,3484, 4096, 98
22:15:01.781,3484, 4096, 98
22:15:02.044,3484, 4096, 98
22:15:02.310,3484, 4096, 98
22:15:02.574,3484, 4096, 98
22:15:02.838,3484, 4096, 97
22:15:03.103,3484, 4096, 97
22:15:03.366,3484, 4096, 97
22:15:03.632,3484, 4096, 97
22:15:03.898,3493, 4096, 100
22:15:04.162,3493, 4096, 100
22:15:04.427,3484, 4096, 100
22:15:04.695,3484, 4096, 100
22:15:04.959,3484, 4096, 100
22:15:05.224,3484, 4096, 100
22:15:05.491,3484, 4096, 100
22:15:05.754,3484, 4096, 100
22:15:06.017,3484, 4096, 100
22:15:06.287,3484, 4096, 100
22:15:06.547,3484, 4096, 100
22:15:06.813,3484, 4096, 99
22:15:07.079,3484, 4096, 99
22:15:07.337,3484, 4096, 99
22:15:07.604,3484, 4096, 99
22:15:07.867,3484, 4096, 97
22:15:08.130,3484, 4096, 97
22:15:08.396,3484, 4096, 97
22:15:08.663,3484, 4096, 97
22:15:08.929,3484, 4096, 98
22:15:09.194,3484, 4096, 98
22:15:09.439,3484, 4096, 98
22:15:09.706,3484, 4096, 98
22:15:09.974,3483, 4096, 98
22:15:10.235,3483, 4096, 98
22:15:10.502,1258, 4096, 98
22:15:10.765,1225, 4096, 36
22:15:11.011,1155, 4096, 36
22:15:11.275,1155, 4096, 36
22:15:11.540,1155, 4096, 36
22:15:11.804,1155, 4096, 1
22:15:12.056,1155, 4096, 1
22:15:12.321,1155, 4096, 1
22:15:12.586,1155, 4096, 1
22:15:12.850,1155, 4096, 2
22:15:13.115,1155, 4096, 2
22:15:13.378,1155, 4096, 2
22:15:13.643,1155, 4096, 2
22:15:13.910,1154, 4096, 2
22:15:14.174,1154, 4096, 2
22:15:14.421,1154, 4096, 2
22:15:14.671,1154, 4096, 2
22:15:14.920,1154, 4096, 2
22:15:15.182,1154, 4096, 2
22:15:15.449,1154, 4096, 2
22:15:15.712,1153, 4096, 2
22:15:15.979,1153, 4096, 2
22:15:16.241,1148, 4096, 2
22:15:16.488,1148, 4096, 2
22:15:16.753,1148, 4096, 2
22:15:17.002,1144, 4096, 2
22:15:17.251,1144, 4096, 2
22:15:17.517,1144, 4096, 2
22:15:17.767,1144, 4096, 2
22:15:18.017,1144, 4096, 2
22:15:18.276,1144, 4096, 2
22:15:18.524,1144, 4096, 2
22:15:18.792,1144, 4096, 2
22:15:19.039,1140, 4096, 2
22:15:19.304,1140, 4096, 2
22:15:19.568,1140, 4096, 2
22:15:19.838,1140, 4096, 2
22:15:20.100,1140, 4096, 2
22:15:20.365,1140, 4096, 2
22:15:20.629,1140, 4096, 2
22:15:20.878,1140, 4096, 2
22:15:21.129,1140, 4096, 2
22:15:21.394,1140, 4096, 2
22:15:21.657,1140, 4096, 2
22:15:21.924,1140, 4096, 2
22:15:22.173,1140, 4096, 2
22:15:22.436,1140, 4096, 2
22:15:22.688,1140, 4096, 2
22:15:22.953,1140, 4096, 2
22:15:23.203,1140, 4096, 2
22:15:23.456,1140, 4096, 2
22:15:23.703,1140, 4096, 2
22:15:23.951,1140, 4096, 2
22:15:24.216,1140, 4096, 2
22:15:24.465,1140, 4096, 2
22:15:24.732,1140, 4096, 2
22:15:24.998,1140, 4096, 2
22:15:25.247,1140, 4096, 2
22:15:25.496,1140, 4096, 2
22:15:25.763,1140, 4096, 2
22:15:26.013,1140, 4096, 2
22:15:26.277,1140, 4096, 2
22:15:26.528,1140, 4096, 2
22:15:26.775,1140, 4096, 2
22:15:27.039,1140, 4096, 2
22:15:27.290,1140, 4096, 2
22:15:27.555,1140, 4096, 2
22:15:27.816,1140, 4096, 2
22:15:28.083,1140, 4096, 2
22:15:28.347,1140, 4096, 2
22:15:28.594,1140, 4096, 2
22:15:28.842,1140, 4096, 2
22:15:29.094,1140, 4096, 2
22:15:29.356,1140, 4096, 2
22:15:29.623,1140, 4096, 2
